emoji,sentiment_score,count,pos_ratio,neg_ratio,neu_ratio,percent_very_pos,percent_pos,percent_somewhat_pos,percent_neutral,percent_very_neg,percent_neg,percent_somewhat_neg,confidence_interval
💛,0.5259259259259259,90,0.8218390804597702,0.005747126436781609,0.1724137931034483,0.1111111111111111,0.5444444444444444,0.16666666666666666,0.16666666666666666,0.0,0.0,0.011111111111111112,0.13830104278118963
💪,0.4469696969696969,88,0.8611111111111112,0.041666666666666664,0.09722222222222222,0.125,0.2727272727272727,0.48863636363636365,0.07954545454545454,0.0,0.03409090909090909,0.0,0.1435894475122017
😜,0.32936507936507936,84,0.6713286713286714,0.09090909090909091,0.23776223776223776,0.023809523809523808,0.42857142857142855,0.21428571428571427,0.20238095238095238,0.011904761904761904,0.0,0.11904761904761904,0.15628060610553118
😇,0.5555555555555556,81,0.8930817610062893,0.0440251572327044,0.06289308176100629,0.16049382716049382,0.5432098765432098,0.18518518518518517,0.06172839506172839,0.0,0.037037037037037035,0.012345679012345678,0.14702198856697135
🎉,0.6707818930041153,81,0.8972972972972973,0.016216216216216217,0.08648648648648649,0.4074074074074074,0.345679012345679,0.13580246913580246,0.09876543209876543,0.012345679012345678,0.0,0.0,0.15257028794505498
🖤,0.225,80,0.4866666666666667,0.12666666666666668,0.38666666666666666,0.0625,0.3,0.125,0.3625,0.025,0.0375,0.0875,0.16740733739571884
🫶,0.4125,80,0.7692307692307693,0.07692307692307693,0.15384615384615385,0.1625,0.3125,0.2625,0.1375,0.0,0.0125,0.1125,0.17188280062850594
😉,0.36363636363636365,77,0.7109375,0.0546875,0.234375,0.05194805194805195,0.36363636363636365,0.2987012987012987,0.19480519480519481,0.0,0.0,0.09090909090909091,0.16556325267475572
😋,0.4212962962962963,72,0.7443609022556391,0.06015037593984962,0.19548872180451127,0.1111111111111111,0.3888888888888889,0.2638888888888889,0.18055555555555555,0.0,0.05555555555555555,0.0,0.17200671390184513
😫,-0.30516431924882625,71,0.11965811965811966,0.6752136752136753,0.20512820512820512,0.014084507042253521,0.04225352112676056,0.07042253521126761,0.16901408450704225,0.014084507042253521,0.38028169014084506,0.30985915492957744,0.17172340657252533
👍,0.43661971830985913,71,0.7555555555555555,0.06666666666666667,0.17777777777777778,0.15492957746478872,0.352112676056338,0.2676056338028169,0.16901408450704225,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.17728201480805886
🙈,0.13145539906103285,71,0.5089285714285714,0.25892857142857145,0.23214285714285715,0.014084507042253521,0.2535211267605634,0.2535211267605634,0.18309859154929578,0.014084507042253521,0.08450704225352113,0.19718309859154928,0.1859452537901005
👈,0.20588235294117646,68,0.47580645161290325,0.13709677419354838,0.3870967741935484,0.04411764705882353,0.3088235294117647,0.11764705882352941,0.35294117647058826,0.0,0.07352941176470588,0.10294117647058823,0.18128288063092596
😏,0.010256410256410255,65,0.37755102040816324,0.35714285714285715,0.2653061224489796,0.0,0.1076923076923077,0.35384615384615387,0.2,0.07692307692307693,0.046153846153846156,0.2153846153846154,0.19003112075342296
